Cantidad,Nemotecnico,Volumen,Ultimo_Precio,Variacion%
846463,PFBCOLOM  ,19747675560.0,24000,6.10079575596818
24502418,PFAVAL    ,19734860830.0,814,2.132998745294845
726655,BCOLOMBIA ,16604497660.0,23980,7.533632286995506
8228583,ECOPETROL ,16347022105.0,2005,0.7537688442211143
306690,GRUPOSURA ,5767559480.0,18840,-1.3612565445026203
453185,CNEC      ,4829621900.0,11000,2.0408163265306145
191013,PFDAVVNDA ,4650587080.0,24800,3.2472939217318864
244283,ISA       ,4605222900.0,19140,2.9032258064516148
381613,GRUPOARGOS,3127682360.0,8120,-1.6949152542372836
1273704,GEB       ,2803104465.0,2210,0.9132420091324311
104278,NUTRESA   ,2354858500.0,22480,-0.7943512797881747
1292408,CLH       ,2131791130.0,1650,0.3039513677811634
79557,PFGRUPSURA,1277777060.0,16020,-1.2330456226880449
8738322,PFAVH     ,1104692771.0,120,39.53488372093024
190310,CEMARGOS  ,670845555.0,3500,-2.0979020979020935
26559,CORFICOLCF,661602660.0,25000,1.132686084142387
66763,PFGRUPOARG,470332430.0,7130,0.42253521126760507
73431,MINEROS   ,252401605.0,3400,-0.5847953216374324
18775,EXITO     ,206682060.0,11200,-2.0979020979020935
3410,BOGOTA    ,202108400.0,59000,-1.0731052984574108
39556,CELSIA    ,161107960.0,4060,-0.9756097560975618
17304,TERPEL    ,120482630.0,7000,0.0
3470,PFCORFICOL,69398940.0,20000,0.0
3915,ICOLCAP   ,42997651.5,11009,0.6859337845253277
2707,TGLSC     ,39034940.0,14420,0.0
78304,CONCONCRET,27448582.0,350,-2.2346368715083775
9190,PFCEMARGOS,26673100.0,2910,0.0
332,GRUBOLIVAR,19146720.0,57960,5.152394775036284
73700,ETB       ,14154100.0,192,-3.5175879396984966
1182300,ENKA      ,9931320.0,8,0.0
1000,BVC       ,9220000.0,9220,0.0
4260,ELCONDOR  ,3838260.0,950,0.0
180,PROMIGAS  ,1224000.0,6870,0.0
